GSM813064	GSM813065	GSM813066	GSM813067	GSM814496	GSM814497
1.0584	0.8227	0.7807	0.7414	0.6764	0.3744
1.2037	0.8063	0.6209	0.4196	0.6726	0.8903
0.4263	0.1527	0.5625	0.264	0.6177	0.7121
1.5071	1.6073	1.6756	1.454	1.3306	1.5971
1.1429	1.017	0.949	1.0934	1.3525	0.7823
1.4225	1.371	1.2908	1.5404	1.3256	1.2152
0.2434	0.2652	0.5256	0.4879	0.4316	0.3916
0.6051	0.2773	0.5473	0.2929	0.1717	0.4883
2.5328	2.859	3.116	2.6923	2.6313	2.9231
0.8106	1.2157	1.4889	1.2935	1.772	1.3495
0.2904	0.129	0.1572	0.3283	0.2911	0.0554
136.3922	123.4236	128.0962	120.9928	128.689	108.9135
0.4057	0.2299	0.241	0.3025	0.4455	0.1964
5.1362	5.2783	5.3669	5.4565	5.4121	6.104
3.0237	2.9701	3.8951	3.3032	3.1231	3.0967
2.1869	2.0735	2.319	2.3553	2.033	2.2627
0.6801	0.9949	1.2688	1.1773	0.5824	1.2358
0.6817	0.4081	0.3621	0.4328	0.4171	0.3504
3.5454	3.0159	3.1429	3.2541	3.4899	3.0218
0.7264	0.2555	0.5599	0.444	0.4664	0.5636
0.2247	0.4978	0.3865	0.4218	0.5251	0.548
5.786	5.9482	5.3924	6.4251	5.245	5.3795
3.7132	3.3605	4.3032	3.97	3.9177	3.6303
0.5038	0.2836	0.4211	0.1604	0.1413	0.2504
0.1899	0.6064	0.1088	0.4199	0.2645	0.392
0.8171	0.4463	0.5724	0.4089	0.1634	0.2709
0.5239	0.407	0.3423	0.4357	0.7211	0.4499
1.5149	0.3486	1.1494	1.3073	1.158	0.3784
0.215	0.3809	0.4026	0.0119	0.0551	0.2686
0.3612	0.3017	0.7637	0.553	0.3561	0.581
2.523	2.2579	2.2629	1.9664	2.3539	1.6144
0.5118	0.7003	0.4859	0.5873	0.2255	0.187
2.9433	2.2981	2.7922	2.645	2.9086	2.4892
0.373	0.5692	-0.0322	0.245	0.3265	0.1294
3.2862	2.8452	3.5235	3.8259	3.157	2.857
0.874	1.3275	1.2583	0.5516	1.1984	0.8266
1.0151	0.4214	0.8931	0.878	0.5547	0.2542
75.4744	57.8504	68.9831	67.8423	58.7392	56.906
9.1118	8.9957	10.8127	7.3867	9.2997	8.6466
59.8332	49.2337	52.863	50.583	54.3538	43.9797
53.5671	181.2498	47.9902	171.919	110.9422	126.8832
0.3738	-0.0031	0.1252	0.0528	0.3921	0.1756
2.6788	2.2686	2.338	2.7489	2.0703	2.1169
69.1107	65.5182	74.2314	64.1496	67.2536	60.2307
6.2259	5.5481	6.1193	4.8529	5.1778	5.2494
0.6735	1.1818	0.7313	0.3948	0.667	1.3221
38.9875	41.0513	44.8772	36.5602	44.2185	35.0057
0.4074	0.1927	0.2282	0.1197	0.5685	0.4817
0.258	0.4976	0.398	0.7135	0.3621	0.5253
2.9251	2.8792	3.4706	2.9766	2.9195	2.7495
2.1247	2.4589	2.5854	2.1855	2.6029	2.2109
14.3465	16.4426	12.6171	11.3619	14.7936	11.9172
0.1375	0.3714	0.0794	0.414	0.2836	0.1817
2.8381	3.0783	2.2323	2.3728	3.6849	2.7621
1.0861	1.4753	1.2964	1.5984	1.2738	1.1734
10.0332	12.0345	9.6889	9.3702	11.0161	10.1186
3.707	4.1664	4.4785	4.3589	2.9686	3.6741
12.911	11.8935	11.1597	11.185	11.7315	10.5566
5.9555	5.5508	6.1779	6.1578	5.7792	5.2851
2.511	1.9805	2.1884	2.2264	1.8462	1.4304
5.2762	4.1991	5.0293	4.3435	5.005	3.7518
3.1093	2.4872	3.0483	3.4083	2.6459	2.6023
8.8473	6.2505	7.2932	7.7145	6.7835	6.1344
0.0918	0.5852	0.2016	0.0998	0.1865	-0.0939
5.9581	5.0363	7.0055	5.6577	4.9682	4.4102
0.6877	1.0191	0.5881	0.9499	0.384	0.3838
1.0675	1.3855	1.4819	1.5033	1.4375	0.6773
2.011	2.2626	2.0438	1.6979	2.1024	1.8161
4.2142	3.9025	4.7376	4.3844	4.3676	3.4109
0.4651	0.2697	0.5947	0.2278	0.3941	0.3471
11.2039	8.664	8.9603	10.9929	9.8391	10.4191
0.0806	0.1252	0.5632	0.0453	0.243	0.2891
9.1148	9.5527	8.9964	8.2328	8.13	8.381
0.3778	0.4138	0.3895	0.5973	0.4622	0.0572
11.6598	12.8333	12.642	12.5992	12.2733	11.5683
-0.0528	0.0562	0.3499	0.264	0.4233	0.424
